Veranlagungsperiode;Einheit;stpf;snpstbetr;mean_stbetr;median_stbetr;gini_stbetr;mean_steink;median_steink;gini_steink;mean_steinka;median_steinka;gini_steinka;mean_reink;median_reink;gini_reink;mean_reinka;median_reinka;gini_reinka;p1;p5;p10;p20;p25;p30;p40;p50;p60;p70;p75;p80;p90;p95;p96;p97;p98;p99;p99_5;p99_9;p99_99;stpf_100;stpf_200;stpf_300;stpf_400;stpf_500;stpf_600;stpf_700;stpf_800;stpf_900;stpf_1000;stpf_1100;stpf_1200;stpf_1300;stpf_1400;stpf_1500;stpf_1600;stpf_1700;stpf_1800;stpf_1900;stpf_2000;stpf_u2000
1995;Verheiratet;35949;121.576;3382;1011;0.74;86666;68100;0.336;53473;41533;0.355;96713;78600;0.307;59080;46778;0.319;25900;32600;38800;47800;51200;54600;61100;68100;76300;86600;93500;102400;135400;180400;198800;225800;270800;381500;538300;1375600;;;;;;;;;;;;;;;;;;;;;;
1995;Unverheiratet;61135;71.77;1174;371;0.744;49012;41300;0.318;32524;27267;0.319;51154;43500;0.306;33894;28667;0.305;15500;17900;20600;25800;28800;31500;36400;41300;46800;53200;57000;61500;77000;96600;104500;115300;133000;181300;247900;634500;;;;;;;;;;;;;;;;;;;;;;
1995;Total;97084;193.346;1992;548;0.768;62955;50200;0.359;40281;31867;0.359;68024;54800;0.352;43220;34714;0.345;15700;19300;23100;31200;34400;37600;43800;50200;57200;65700;71200;78300;102600;134500;147400;166200;198600;271700;384900;898800;;193;5381;12086;15232;15300;13523;10046;6967;4707;3220;2273;1676;1183;873;700;535;426;321;279;248;1915
1996;Verheiratet;35737;115.726;3238;853;0.767;87423;67700;0.344;54187;41200;0.366;98256;79000;0.313;60230;46933;0.327;27400;32900;38700;47300;50800;54100;60600;67700;76100;86500;93300;102200;135100;181400;200300;227900;274900;393900;571000;1378600;;;;;;;;;;;;;;;;;;;;;;
1996;Unverheiratet;59650;67.647;1134;321;0.762;49961;41700;0.32;33147;27600;0.321;52187;44000;0.308;34570;29000;0.307;16500;18600;21100;26400;29200;31800;36800;41700;47300;53700;57600;62300;77800;97200;104600;115400;136100;186000;259200;655200;;;;;;;;;;;;;;;;;;;;;;
1996;Total;95387;183.373;1922;474;0.788;63996;50500;0.362;41030;32133;0.364;69447;55600;0.355;44184;35133;0.349;16600;20000;23700;31700;34900;38000;44100;50500;57500;66100;71600;78600;102900;135400;148200;167700;202300;278700;397000;994900;;165;4541;11929;15121;15136;13404;9901;6874;4754;3278;2258;1578;1190;861;688;517;408;314;293;219;1958
1998;Verheiratet;34694;120.217;3465;853;0.773;89396;67600;0.357;55248;41400;0.375;100284;78900;0.325;61312;47000;0.336;25200;32600;38400;47100;50600;53900;60400;67600;76600;87700;95400;105300;142000;187700;204300;234700;282100;400000;583900;1673300;;;;;;;;;;;;;;;;;;;;;;
1998;Unverheiratet;58589;71.376;1218;321;0.772;50983;41900;0.329;33756;27600;0.33;53255;44200;0.317;35199;29067;0.315;16400;18600;21400;26500;29300;32100;36900;41900;47400;54100;58100;63000;80500;102600;110500;122000;141500;186900;262400;728200;;;;;;;;;;;;;;;;;;;;;;
1998;Total;93283;191.594;2054;474;0.795;65270;50400;0.372;41749;32133;0.372;70746;55600;0.364;44911;35200;0.356;16500;20000;23800;31700;34900;37900;44100;50400;57600;66500;72400;80000;107000;141600;154300;173300;204200;284400;412400;1082300;;250;4359;11573;14975;14767;12783;9428;6449;4490;3184;2338;1679;1250;960;790;616;462;368;319;270;1973
1999;Verheiratet;329111;1171.816;3561;801;0.792;88765;66100;0.378;54570;39722;0.398;99670;78000;0.346;60445;45467;0.359;14500;30900;35800;44200;48100;51600;58700;66100;74800;85800;93200;102900;139600;192400;212600;244300;299000;433500;635600;1652200;7304500;;;;;;;;;;;;;;;;;;;;;
