Veranlagungsperiode;Einheit;stpf;snpstbetr;mean_stbetr;median_stbetr;gini_stbetr;mean_steink;median_steink;gini_steink;mean_steinka;median_steinka;gini_steinka;mean_reink;median_reink;gini_reink;mean_reinka;median_reinka;gini_reinka;p1;p5;p10;p20;p25;p30;p40;p50;p60;p70;p75;p80;p90;p95;p96;p97;p98;p99;p99_5;p99_9;p99_99;stpf_100;stpf_200;stpf_300;stpf_400;stpf_500;stpf_600;stpf_700;stpf_800;stpf_900;stpf_1000;stpf_1100;stpf_1200;stpf_1300;stpf_1400;stpf_1500;stpf_1600;stpf_1700;stpf_1800;stpf_1900;stpf_2000;stpf_u2000
2001;Verheiratet;1360377;3999.029;2940;678;0.8;79588;62500;0.397;47983;36667;0.418;91505;75100;0.354;54324;43067;0.368;0;11800;27000;38800;43100;47200;54900;62500;71000;81500;88200;96900;128400;172100;190300;217500;263900;372400;532600;1355200;5716500;;;;;;;;;;;;;;;;;;;;;
2001;Unverheiratet;2159902;1753.682;812;155;0.828;37316;32500;0.467;24956;21467;0.47;39445;34800;0.448;26273;23000;0.449;0;0;0;8300;14000;18400;25500;32500;39000;45700;49600;54200;69000;86700;93500;103300;119900;159100;219300;512100;2260700;;;;;;;;;;;;;;;;;;;;;
2001;Total;3520279;5752.711;1634;282;0.837;53652;42800;0.47;33855;26762;0.471;59563;48000;0.454;37113;30067;0.447;0;0;2600;17300;22500;27400;35600;42800;50500;59900;65600;72700;96700;127200;139500;157400;188500;261600;370800;888000;3725300;523703;262845;368369;461756;468315;381817;286321;203319;141867;98221;70032;50120;36476;27360;21110;16898;13077;10608;8826;7154;62085
2002;Verheiratet;1363728;3889.633;2852;702;0.789;79290;63300;0.39;47721;37133;0.41;91286;76000;0.348;54112;43533;0.361;0;11100;26900;39000;43500;47700;55500;63300;72000;82600;89500;98100;129400;172400;189900;215900;260600;366600;516900;1236500;5265400;;;;;;;;;;;;;;;;;;;;;
2002;Unverheiratet;2204550;1741.76;790;158;0.82;37371;32900;0.463;24971;21667;0.467;39544;35200;0.444;26318;23267;0.445;0;0;0;8200;14000;18400;25800;32900;39400;46200;50000;54700;69700;87300;94000;103500;119600;157800;214400;493100;1960000;;;;;;;;;;;;;;;;;;;;;
2002;Total;3568278;5631.394;1578;287;0.829;53391;43200;0.465;33666;27000;0.466;59319;48200;0.45;36940;30267;0.442;0;0;2500;17100;22500;27400;35800;43200;50900;60300;66200;73300;97500;127600;139600;157000;187000;257000;363100;842200;3377300;536742;264197;365582;459722;470124;386984;291185;209795;146236;103377;73114;52542;38167;28742;22000;17251;13495;11048;9056;7319;61600
2003;Verheiratet;1668597;4725.659;2832;705;0.786;78965;63400;0.393;47568;37200;0.411;90561;75800;0.354;53748;43524;0.365;0;7500;25800;38600;43200;47400;55500;63400;72100;83000;90000;98800;130300;173000;190100;215800;259500;360000;505200;1187000;5098200;;;;;;;;;;;;;;;;;;;;;
2003;Unverheiratet;2673196;2132.656;798;155;0.825;37162;32500;0.47;24828;21400;0.475;39322;34900;0.451;26161;23000;0.453;0;0;0;7200;13400;18100;25400;32500;39100;45900;49900;54600;69500;87000;93700;103100;119200;156600;212500;486700;2072800;;;;;;;;;;;;;;;;;;;;;
2003;Total;4341793;6858.315;1580;284;0.829;53228;42900;0.47;33568;26857;0.471;59013;47800;0.456;36763;30067;0.448;0;0;1600;16500;22100;27000;35500;42900;50800;60400;66200;73500;98000;128400;140400;157900;187200;256200;357100;818800;3273200;687138;308355;442993;557032;562293;462904;352281;252543;177851;125807;89420;64843;47838;35341;27282;21619;17164;13729;11264;9113;74983
2004;Verheiratet;1659898;4860.084;2928;729;0.784;80303;64000;0.398;48478;37600;0.415;92068;76600;0.358;54776;44056;0.369;0;8200;25300;38700;43300;47700;55900;64000;73000;84100;91200;100200;132600;176800;194900;221900;268100;371900;522200;1240200;6252900;;;;;;;;;;;;;;;;;;;;;
