Einheit;Verheiratet / mariés;Unverheiratet / non-mariés;Total
stpf;1700550;3044322;4744872
snpstbetr;6067.944;2956.254;9024.198
mean_stbetr;3568;971;1902
median_stbetr;721;168;282
gini_stbetr;0.813;0.837;0.848
mean_steink;87587;41121;57774
median_steink;66300;34900;44600
gini_steink;0.433;0.482;0.493
mean_steinka;53788;27607;36990
median_steinka;39467;23000;28200
gini_steinka;0.452;0.488;0.496
mean_reink;104013;43646;65281
median_reink;83700;37600;50500
gini_reink;0.381;0.461;0.476
mean_reinka;62932;29170;41270
median_reinka;48750;24800;32200
gini_reinka;0.393;0.465;0.471
p1;0;0;0
p5;6300;0;0
p10;22900;0;2400
p20;38500;8300;15800
p25;43600;13900;21800
p30;48400;18800;27100
p40;57400;26900;36500
p50;66300;34900;44600
p60;76400;42100;53100
p70;89200;49800;63400
p75;97500;54200;70000
p80;108200;59600;78100
p90;147700;77200;106600
p95;202800;98900;143400
p96;225800;106900;158100
p97;260000;118800;180000
p98;317800;138600;217600
p99;452700;185300;305300
p99_5;647500;256100;436900
p99_9;1600000;595000;1031500
p99_99;7018300;2448900;4488400
stpfo;170434;837510;1007944
stpf_100;;;759538
stpf_200;;;345064
stpf_300;;;448665
stpf_400;;;541549
stpf_500;;;580820
stpf_600;;;496481
stpf_700;;;385373
stpf_800;;;282639
stpf_900;;;204260
stpf_1000;;;149268
stpf_1100;;;109905
stpf_1200;;;81036
stpf_1300;;;61859
stpf_1400;;;47245
stpf_1500;;;36541
stpf_1600;;;29496
stpf_1700;;;23533
stpf_1800;;;18870
stpf_1900;;;15970
stpf_2000;;;13069
stpf_3000;;;64383
stpf_4000;;;21148
stpf_5000;;;9877
stpf_6000;;;5418
stpf_7000;;;3234
stpf_8000;;;2106
stpf_9000;;;1418
stpf_10000;;;1046
stpf_u10000;;;5061
