steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_reink	ppop0	G_reink0	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1987.5	"AG"			191520	9028902	.3184396	.0066782	.3184396	11.07016	15.62004	18.78415	24.27465	26.78618	29.39161	34.47336	40.02544	46.00487	52.99081	57.14538	62.07107	77.82687	96.40777	103.6044	113.9285	131.6978	171.1926				47.14339	191520
1989.5	"AG"			196596	1.01e+07	.3197229	.0088506	.3197229	12.05446	16.99385	20.77979	26.56288	29.24939	31.81436	37.11584	42.87143	49.41644	56.99292	61.50399	66.82619	83.84882	104.4266	112.2441	123.7997	143.9712	190.2257				51.13974	196596
1991.5	"AG"			204177	1.16e+07	.3226682	.0115341	.3226682	14.63625	18.48907	22.70073	29.4412	32.26889	35.30445	41.08387	47.4503	54.82327	63.4609	68.49635	74.3662	93.48209	116.5535	125.635	138.5579	160.7255					56.76164	204177
1993.5	"AG"			206185	1.30e+07	.312217	.0130465	.312217	16.12563	21.14289	26.15693	33.56561	36.82515	40.13007	46.41848	53.44894	61.51843	71.02359	76.57096	83.00269	103.7025	128.0199	137.1203	149.8138	172.4566					63.05819	206185
1995.5	"AG"	31800	10272	211421	1.38e+07	.3070534	.0122933	.3976529	16.61068	22.56274	27.79446	35.61724	38.77394	41.95163	48.35577	55.51331	63.39436	72.85325	78.43569	85.1464	106.3655	131.3867	140.642	154.1373	177.3301					65.26366	211421
1997.5	"AG"	36147	11263	211564	1.39e+07	.301922	.0113519	.4037884	17.14033	23.15657	28.27536	36.07177	39.32161	42.44884	48.88453	55.95213	63.88539	73.34663	78.91926	85.55711	106.466	131.1168	140.2158	153.2454	174.9352					65.5273	211564
1999.5	"AG"	39215	12528	212198	1.37e+07	.2981473	.0102262	.4076212	17.12014	23.02222	28.00867	35.72457	38.85398	41.97322	48.27411	55.26637	62.9397	72.17176	77.64468	84.10738	104.3801	128.1243	136.9353	149.1947	170.0757					64.35113	212198
2001	"AG"	44174	3107	244098	1.72e+07	.3078845	.014972	.4139423	18.70929	24.34051	30.24282	38.47853	41.99232	45.48172	52.17138	59.66477	68.25503	78.46174	84.51311	91.6991	115.0137	142.8714	153.3712	168.3811	192.0635					70.5562	244098
2002	"AG"	45363	3396	249707	1.78e+07	.3083218	.0158573	.4146579	18.73676	24.58937	30.46728	38.85309	42.37231	45.88399	52.70985	60.39448	69.05392	79.45394	85.72699	93.05402	116.7758	145.2609	156.1202	171.4688	195.6976					71.36519	249707
2003	"AG"	46638	3597	253403	1.81e+07	.3079233	.0156045	.4154989	18.84391	24.75657	30.49108	38.88131	42.36977	45.85747	52.64945	60.35956	69.22832	79.78619	86.15414	93.54914	117.4387	145.3415	155.9876	171.0853	194.8777					71.41782	253403
