anz_pflichtige	steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
2	1961.5	"AG"			64247	762662	.3332687		6.136682	6.343667	6.819067	7.080397	7.340288	7.955952	8.709891	9.704832	11.12217	12.09939	13.37502	18.34931	26.00812	62.0404	11.87078
2	1963.5	"AG"			68711	943957	.3424324		6.61815	7.149831	7.708396	8.029084	8.349522	9.10217	9.999475	11.16256	12.82902	13.98238	15.51391	21.5859	30.7519	72.37348	13.73808
2	1965.5	"AG"			71273	1136579	.3389261	7.021931	7.883118	8.263957	8.937189	9.284049	9.660002	10.50253	11.5325	12.87931	14.86693	16.20786	17.99378	25.22137	36.7893	83.41701	15.94684
4	1967.5	"AG"			97513	1606852	.3301795		8.041345	8.435104	9.35219	9.766829	10.28002	11.2781	12.41996	13.82669	15.81522	17.23435	19.04675	25.82746	35.51464	81.99483	16.47834
3	1969.5	"AG"			112730	2046802	.3292024		8.221545	8.850742	10.1621	10.70146	11.33228	12.5368	13.88015	15.58546	17.81856	19.39716	21.35782	28.63688	38.67315	88.61122	18.15668
7	1971.5	"AG"			116760	2531499	.3149989	9.01475	10.28629	11.07183	12.43531	13.15609	13.76246	15.24934	16.80716	18.75037	21.43484	23.24287	25.47025	33.6019	45.44259	102.1454	21.68121
16	1973.5	"AG"			132941	3336615	.329192	9.417021	10.7087	11.81695	13.82519	14.75291	15.63662	17.43532	19.38202	21.67211	24.68151	26.7023	29.27423	38.78361	52.38941	120.2169	25.09846
14	1975.5	"AG"			152284	4460461	.3203568	10.10359	11.48468	13.11972	16.03929	17.35732	18.61356	21.14673	23.61995	26.49626	30.33459	32.64184	35.76404	46.58718	60.68697	125.7045	29.29041
9	1977.5	"AG"			171339	5174505	.326629	9.301402	10.46348	12.05265	15.56974	17.28716	18.86395	22.0914	25.10943	28.31148	32.53304	35.28912	38.51207	49.77122	63.12262	119.5384	30.20039
9	1979.5	"AG"			174244	5647865	.3187446	10.12639	11.7079	13.59881	17.22002	18.88797	20.57927	23.70977	26.78407	30.55984	35.10386	37.7942	41.32768	53.06972	67.17615	126.1108	32.41354
