steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	G_reink	G_taxed	ppop0	G_steink0	G_steink_halb	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1918	"AG"			7176	29602.1	.2665679		.2615876	0	.2665679	.2665679	2.505912	2.530318	2.562674	2.6346	2.674863	2.728788	2.885971	3.111081	3.463228	3.852452	4.147851	4.577087	6.070693	8.60104	9.696633	11.18187	13.47634	17.60739	24.87722			4.125153	7176
1923	"AG"			12343	68567.5	.2940162			.000162	.2940162	.2940162	2.01657	2.086019	2.180699	2.402097	2.532803	2.680405	3.04202	3.533196	4.243541	5.200061	5.641068	6.232032	8.492459	11.82516	13.25765	15.43708	19.80717	30.57382	42.06304	101.9383		5.555173	12343
1941.5	"AG"			42118	220619	.3057409			.0012346	.3057409	.3057409	2.01526	2.07911	2.165889	2.367678	2.486111	2.619278	2.943155	3.378295	3.999356	4.971422	5.406432	5.973824	8.144865	11.37114	12.85118	15.04704	18.79351	28.50629	43.54905			5.238117	42118
1945.5	"AG"			-15046	-88925	.453679		.4344095	.0012628	.453679	.453679	3.763309	4.013243	4.110297	4.329927	4.45521	4.593151	4.916982	5.308264	5.82228	6.414452	6.788102	7.29237	10.55556	13.01845	13.92772	15.1943	17.17743					5.910209	-15046
1947.5	"AG"			86744	480292	.3467906		.3396932	.0008877	.3467906	.3467906	2.045842	2.245229	2.536343	3.101301	3.258571	3.435527	3.866397	4.298762	4.829789	5.555452	6.051068	6.633381	8.792726	12.52043	13.93622	16.00025	19.43867	27.8132	40.47947	93.19028		5.53689	86744
1949	"AG"			77120	543436	.3161347		.3084343	.0011929	.3161347	.3161347	3.060172	3.319999	3.694326	4.203436	4.380603	4.578263	5.040601	5.51487	6.151754	7.052823	7.61948	8.355721	11.01186	14.85776	16.48692	19.01682	23.42798	33.83172	48.65141			7.046628	77120
1950	"AG"			55161	459461	.3026993		.2942319	.0016678	.3026993	.3026993	4.056703	4.297936	4.636041	5.159891	5.326777	5.511156	5.946501	6.490328	7.19603	8.122589	8.740582	9.542235	12.66783	17.42351	19.47375	22.58783	27.99197	40.32742	57.6305			8.329453	55161
1951.5	"AG"			62718	536802	.2968399		.2886974	.0001116	.2968399	.2968399	4.059418	4.312636	4.668669	5.197762	5.384169	5.590842	6.077016	6.674869	7.421483	8.401581	9.050445	9.895937	12.89269	17.19576	19.0261	21.92118	26.95023	38.91219	55.75193	124.5241		8.558978	62718
1953.5	"AG"			71788	632006	.2997692		.2913793	0	.2997692	.2997692	4.069683	4.368582	4.793925	5.28445	5.490647	5.719981	6.238883	6.872711	7.656399	8.683805	9.346854	10.19306	13.2707	17.68587	19.62214	22.55211	27.75184	41.25489	58.74944	129.5696	333.7413	8.803783	71788
1955.5	"AG"			73697	660899	.309416		.3006326	0	.309416	.309416	4.070354	4.372257	4.802213	5.291684	5.500568	5.732996	6.252406	6.882339	7.678607	8.729962	9.421274	10.32998	13.75077	18.50525	20.57048	23.90823	29.65166	42.74022	62.00354	138.518	340.872	8.967787	73697
1957.5	"AG"			83118	762888	.3171706		.3081058	0	.3171706	.3171706	4.088547	4.472916	5.01037	5.444926	5.69882	5.983343	6.525723	7.204941	8.061269	9.16412	9.890539	10.8455	14.31649	19.26625	21.41442	24.85507	31.23866	44.88048	64.34912	136.5814	424.5013	9.178373	83118
1959.5	"AG"			51949	604725	.3144984		.3071232	0	.3144984	.3144984	6.033327	6.172036	6.358717	6.785177	7.02723	7.267038	7.832827	8.547523	9.47367	10.78131	11.68637	12.89359	17.54623	24.84151	28.2241	33.29615	41.62551	58.62318	81.4311	184.4629		11.64074	51949
1961.5	"AG"			59147	713586	.3241972		.3165808	.0000338	.3241972	.3241972	6.03697	6.191082	6.399088	6.876737	7.132521	7.397508	8.024314	8.791093	9.803373	11.24412	12.2367	13.52273	18.53164	26.33276	29.75034	35.09103	43.93473	62.59354	85.13274	190.5907	473.6475	12.06462	59147
1963.5	"AG"			63008	885305	.335812		.3281117	.0000317	.335812	.335812	6.163606	6.883041	7.220531	7.794386	8.113546	8.442902	9.206594	10.12243	11.31669	13.01535	14.17733	15.73204	22.00539	31.70357	36.08432	42.60361	52.43742	73.77009	101.9692	224.8794	627.2141	14.05068	63008
1965.5	"AG"			66651	1076761	.3344122		.3266723	.00003	.3344122	.3344122	7.19872	8.017813	8.310742	8.986463	9.331501	9.713068	10.56507	11.62035	13.00241	15.0366	16.40109	18.22459	25.56865	37.34731	42.21226	48.81267	59.25769	83.78208	113.6493	247.8282	595.3906	16.15521	66651
