anz_pflichtige	steuerperiode	bemessungsjahre	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
0	1959.5	1957.5	"AG"			4932	47765	.5066272						6.344406	7.16267	8.047171	9.002373	10.18641	10.97443	12.00779	16.45055	22.5854	67.39618	9.684712
0	1961.5	1959.5	"AG"			5100	49076	.4368436				6.085526	6.345705	6.636154	7.228543	7.842403	8.6302	9.736516	10.50973	11.5053	15.93737	21.93244	53.66782	9.622746
0	1963.5	1961.5	"AG"			5703	58652	.4074588				6.503749	7.140122	7.401599	8.018388	8.716523	9.599455	10.82	11.63669	12.76612	17.64066	22.47173	49.19143	10.28441
0	1965.5	1963.5	"AG"			4622	59818	.3988788				8.18671	8.557508	8.972487	9.694195	10.52135	11.46395	12.70278	13.57528	14.83367	19.5456	27.70781	74.84626	12.94202
0	1967.5	1965.5	"AG"			8236	113287.7	.449264				7.705204	8.43282	9.058511	10.13261	11.22164	12.44188	14.11351	15.10208	16.39692	22.00425	30.36364	82.74842	13.75519
1	1969.5	1967.5	"AG"			9256	149404.2	.4271566				8.614931	9.347019	10.07416	11.42254	12.8776	14.54727	16.39917	17.69075	19.4007	26.10645	35.84209	93.06483	16.14134
1	1971.5	1969.5	"AG"			11717	231901.7	.3667127			9.149046	11.29466	12.15072	13.02897	14.50472	16.30648	18.14552	20.34077	21.76439	23.56458	30.83747	41.988	101.8502	19.7919
0	1959.5	1957.5	"AI"			19	153	.2074303				6.557549	6.902319	7.6778	8.258999	8.6325	9.104083	9.710546	10.09616	10.52538				8.052631
0	1961.5	1959.5	"AI"			19	176	.1632775	6.039453	6.204086	6.426729	6.939799	7.156303	7.372059	7.877919	8.445757	9.104083	9.710546	10.09616	10.52538	15.07181			9.263158
0	1963.5	1961.5	"AI"			39	295	.4132116						6.679701	7.885951	8.319547	8.771871	9.248898	9.508801	9.836858				7.564103
0	1965.5	1963.5	"AI"			25	209	.6168421								8.224311	10.46309	12.47333	13.72793		20.44363			8.36
0	1967.5	1965.5	"AI"			49	657.6	.5786378							9.76956	11.13757	12.51011	13.72053	14.77634	15.6281				13.42041
0	1969.5	1967.5	"AI"			162	2048.6	.643437							7.226813	9.465082	10.83231	13.41343	15.35244	16.82105	24.60334	37.81699	128.3969	12.64568
0	1971.5	1969.5	"AI"			203	4453.2	.4983716				10.37626	11.0969	11.70027	13.3513	14.67301	17.11353	20.02131	23.11331	24.712	37.60833	79.11398	166.1238	21.93695
0	1959.5	1957.5	"AR"			1014	6768	.556496							6.066527	6.567901	7.207008	8.036818	8.597457	9.326856	12.33016	17.85055	54.24073	6.674556
0	1961.5	1959.5	"AR"			2944	22920	.2904107				6.211596	6.361383	6.525506	6.907665	7.242521	7.628551	8.125968	8.408361	8.767374	9.930063	11.45954	26.58797	7.785326
0	1963.5	1961.5	"AR"			3111	28783	.2562678			6.210199	7.115242	7.309705	7.523469	8.01615	8.438969	8.986926	9.590534	9.992036	10.48689	12.23129	15.01535	35.64071	9.252009
0	1965.5	1963.5	"AR"			2504	27156	.2853222			7.034655	8.242158	8.482369	8.746906	9.243991	9.758326	10.36621	11.13911	11.60935	12.21502	14.39857	19.05709	48.10555	10.84505
0	1967.5	1965.5	"AR"			2858	33581.6	.2927772			7.214419	8.444272	8.782133	9.186452	9.824666	10.50926	11.30713	12.29235	12.85334	13.52506	15.6856	19.38872	57.20325	11.75004
0	1969.5	1967.5	"AR"			3630	46907.3	.3414049				8.564632	9.144506	9.570564	10.47732	11.37285	12.38041	13.65708	14.50428	15.49421	18.651	23.56071	60.79142	12.92212
0	1971.5	1969.5	"AR"			3820	63633.9	.2854082			10.262	11.40521	12.01464	12.43605	13.40712	14.41314	15.51247	17.08883	17.89057	19.25164	23.37722	28.67144	59.75975	16.65809
0	1959.5	1957.5	"BE"			13573	140220	.5114967						6.340386	7.233885	8.234935	9.435791	11.04701	12.14292	13.53422	18.90125	27.1878	65.94452	10.3308
0	1961.5	1959.5	"BE"			14687	131211	.5747255							6.431208	7.398474	8.475614	9.839493	10.78786	12.21588	17.48276	25.89738	63.15534	8.933819
1	1963.5	1961.5	"BE"			19176	210076	.5474118						6.217194	7.683993	8.65524	9.813336	11.43083	12.57204	14.1696	20.40876	29.76366	76.47498	10.95515
1	1965.5	1963.5	"BE"			22161	284281	.5362815						7.974131	9.028314	10.14872	11.54078	13.32786	14.52812	16.23126	22.65987	32.44849	84.89178	12.82799
1	1967.5	1965.5	"BE"			30641	483534.4	.4044525			6.143347	8.728258	9.28729	9.748505	10.79206	12.07059	13.44504	15.27216	16.50387	18.30271	25.08838	35.24485	90.59608	15.78063
2	1969.5	1967.5	"BE"			37401	613312.5	.4250259				8.642377	9.42591	10.1919	11.5581	13.13304	14.79246	16.86441	18.30946	20.11459	27.27529	37.93564	90.12499	16.39829
3	1971.5	1969.5	"BE"			42867	881788.9	.4098455				11.14549	12.02168	12.76562	14.47077	16.31589	18.36945	21.05054	22.7131	25.00939	33.58389	45.959	113.444	20.57034
0	1959.5	1957.5	"BL"			2336	21753	.5635396							6.65836	7.980393	9.230278	10.63929	11.52872	12.63937	17.08195	25.49292	69.04052	9.312072
2	1961.5	1959.5	"BL"			3184	46705	.5901682				6.139489	6.485746	6.877526	7.665025	8.541161	9.608163	11.03614	12.00845	13.60578	20.02078	34.03659	127.6504	14.66866
0	1963.5	1961.5	"BL"			3521	38790	.5146397						7.071373	8.003515	9.02617	10.15565	11.55089	12.4835	13.71373	18.54777	26.33362	76.67171	11.01676
0	1965.5	1963.5	"BL"			5418	70278	.4878419					7.364322	8.398507	9.575492	10.91893	12.38514	14.13989	15.13875	16.70411	22.56271	31.69525	86.31145	12.97121
2	1967.5	1965.5	"BL"			7529	154109.3	.3895712	7.36196	8.275468	8.847876	10.14868	10.69812	11.36382	12.62468	14.10884	15.68246	18.03426	19.58178	21.8369	30.74473	44.66541	131.3147	20.46876
0	1969.5	1967.5	"BL"			8051	156329.8	.3131327	7.542498	8.48296	9.316965	10.81583	11.58866	12.34857	13.74249	15.37025	17.18684	19.55321	21.27675	23.4089	31.11098	40.93557	83.93722	19.41744
2	1971.5	1969.5	"BL"			8987	216222.3	.3419127		10.29148	11.23586	12.8427	13.73684	14.6354	16.41087	18.39007	20.60459	23.64669	25.66345	28.17301	37.73061	50.92884	115.8254	24.05945
3	1959.5	1957.5	"BS"			3706	49287	.5527872					6.155235	6.398109	6.975953	7.628547	8.532716	9.812636	10.78127	12.09939	17.30004	30.65742	122.2163	13.29924
3	1961.5	1959.5	"BS"			8255	102046	.4832095				6.176315	6.449931	6.75585	7.32793	7.957374	8.773685	9.984453	10.99505	12.3521	17.52168	26.93987	91.67143	12.36172
1	1963.5	1961.5	"BS"			16671	174644	.4459334					6.462606	7.151152	7.908056	8.620636	9.452063	10.51694	11.23878	12.22122	16.13691	21.90143	61.04487	10.47592
1	1965.5	1963.5	"BS"			17284	252964	.3807562				8.253122	8.669985	9.099252	9.899218	10.74193	11.78837	13.22919	14.21691	15.51514	20.67318	30.49175	92.28886	14.63573
2	1967.5	1965.5	"BS"			22324	344637.4	.364495			7.118762	8.565725	9.130658	9.573829	10.56438	11.58525	12.732	14.30327	15.3342	16.69244	22.30658	30.82377	82.64204	15.43798
5	1969.5	1967.5	"BS"			24236	423854	.3916862			7.813876	9.150737	9.76375	10.45629	11.73601	13.05696	14.42643	16.30662	17.60991	19.35193	25.94758	35.51064	98.20309	17.48861
